cycle_id,resident_id,machine_id,start_time,end_time,price,duration_min,hour,day_of_week
26,16,132,2026-01-01 21:45:00,2026-01-01 22:15:00,2.5,30.0,21,Thursday
27,10,180,2026-01-02 18:00:00,2026-01-02 19:15:00,2.0,75.0,18,Friday
28,21,133,2026-01-02 09:00:00,2026-01-02 10:30:00,2.5,90.0,9,Friday
29,13,148,2026-01-02 09:45:00,2026-01-02 10:45:00,2.0,60.0,9,Friday
30,14,117,2026-01-02 21:00:00,2026-01-02 22:15:00,2.0,75.0,21,Friday
31,50,159,2026-01-02 08:15:00,2026-01-02 09:45:00,2.0,90.0,8,Friday
32,15,151,2026-01-02 11:45:00,2026-01-02 12:45:00,2.5,60.0,11,Friday
33,100,127,2026-01-02 07:00:00,2026-01-02 07:30:00,2.0,30.0,7,Friday
34,76,128,2026-01-02 20:45:00,2026-01-02 21:15:00,2.0,30.0,20,Friday
35,37,169,2026-01-02 17:00:00,2026-01-02 18:00:00,2.0,60.0,17,Friday
36,34,104,2026-01-02 08:45:00,2026-01-02 09:15:00,2.5,30.0,8,Friday
37,45,117,2026-01-02 17:45:00,2026-01-02 19:15:00,2.0,90.0,17,Friday
38,83,146,2026-01-02 10:15:00,2026-01-02 11:15:00,2.0,60.0,10,Friday
39,72,137,2026-01-02 13:00:00,2026-01-02 13:30:00,2.0,30.0,13,Friday
40,49,146,2026-01-02 10:30:00,2026-01-02 11:30:00,2.0,60.0,10,Friday
41,6,160,2026-01-02 06:45:00,2026-01-02 08:15:00,2.0,90.0,6,Friday
42,4,185,2026-01-02 21:30:00,2026-01-02 22:00:00,2.5,30.0,21,Friday
43,8,167,2026-01-02 21:15:00,2026-01-02 21:45:00,2.0,30.0,21,Friday
44,74,195,2026-01-02 11:15:00,2026-01-02 12:15:00,2.5,60.0,11,Friday
45,46,146,2026-01-02 13:15:00,2026-01-02 14:00:00,2.0,45.0,13,Friday
46,22,127,2026-01-02 15:15:00,2026-01-02 16:00:00,2.0,45.0,15,Friday
47,48,117,2026-01-02 13:00:00,2026-01-02 13:30:00,2.0,30.0,13,Friday
48,57,143,2026-01-02 11:45:00,2026-01-02 13:15:00,2.5,90.0,11,Friday
49,42,142,2026-01-02 12:15:00,2026-01-02 13:15:00,2.5,60.0,12,Friday
50,82,150,2026-01-02 14:45:00,2026-01-02 16:15:00,2.0,90.0,14,Friday
51,73,160,2026-01-02 15:30:00,2026-01-02 16:00:00,2.0,30.0,15,Friday
52,99,136,2026-01-02 18:45:00,2026-01-02 19:15:00,2.0,30.0,18,Friday
53,63,108,2026-01-02 21:15:00,2026-01-02 22:30:00,2.0,75.0,21,Friday
54,29,187,2026-01-02 20:45:00,2026-01-02 21:30:00,2.0,45.0,20,Friday
55,9,166,2026-01-02 21:30:00,2026-01-02 22:30:00,2.0,60.0,21,Friday
56,43,125,2026-01-02 15:30:00,2026-01-02 17:00:00,2.5,90.0,15,Friday
57,27,122,2026-01-02 15:15:00,2026-01-02 15:45:00,2.5,30.0,15,Friday
58,88,152,2026-01-02 15:15:00,2026-01-02 16:15:00,2.5,60.0,15,Friday
59,5,160,2026-01-02 10:00:00,2026-01-02 11:30:00,2.0,90.0,10,Friday
60,97,160,2026-01-02 17:45:00,2026-01-02 19:15:00,2.0,90.0,17,Friday
61,47,168,2026-01-02 11:00:00,2026-01-02 12:15:00,2.0,75.0,11,Friday
62,84,194,2026-01-02 20:30:00,2026-01-02 21:45:00,2.5,75.0,20,Friday
63,64,116,2026-01-02 18:15:00,2026-01-02 19:30:00,2.0,75.0,18,Friday
64,78,130,2026-01-02 08:00:00,2026-01-02 09:00:00,2.0,60.0,8,Friday
65,77,192,2026-01-02 15:30:00,2026-01-02 16:15:00,2.5,45.0,15,Friday
66,46,124,2026-01-03 21:30:00,2026-01-03 22:00:00,2.5,30.0,21,Saturday
67,80,199,2026-01-03 21:45:00,2026-01-03 22:30:00,2.0,45.0,21,Saturday
68,6,196,2026-01-03 13:30:00,2026-01-03 15:00:00,2.0,90.0,13,Saturday
69,30,112,2026-01-03 06:30:00,2026-01-03 08:00:00,2.5,90.0,6,Saturday
70,50,123,2026-01-03 14:30:00,2026-01-03 15:00:00,2.5,30.0,14,Saturday
71,36,130,2026-01-03 06:00:00,2026-01-03 07:15:00,2.0,75.0,6,Saturday
72,85,189,2026-01-03 11:00:00,2026-01-03 12:00:00,2.0,60.0,11,Saturday
73,15,119,2026-01-03 06:45:00,2026-01-03 08:00:00,2.0,75.0,6,Saturday
74,54,161,2026-01-03 14:30:00,2026-01-03 15:45:00,2.5,75.0,14,Saturday
75,44,109,2026-01-03 12:45:00,2026-01-03 14:00:00,2.0,75.0,12,Saturday
76,25,183,2026-01-03 15:30:00,2026-01-03 17:00:00,2.5,90.0,15,Saturday
77,11,169,2026-01-03 08:45:00,2026-01-03 09:15:00,2.0,30.0,8,Saturday
78,74,152,2026-01-03 16:00:00,2026-01-03 17:15:00,2.5,75.0,16,Saturday
79,21,153,2026-01-03 12:45:00,2026-01-03 13:15:00,2.5,30.0,12,Saturday
80,55,139,2026-01-03 18:00:00,2026-01-03 18:45:00,2.0,45.0,18,Saturday
81,83,158,2026-01-03 12:15:00,2026-01-03 13:00:00,2.0,45.0,12,Saturday
82,53,105,2026-01-03 08:30:00,2026-01-03 10:00:00,2.5,90.0,8,Saturday
83,7,175,2026-01-03 07:30:00,2026-01-03 08:45:00,2.5,75.0,7,Saturday
84,97,109,2026-01-03 15:15:00,2026-01-03 16:30:00,2.0,75.0,15,Saturday
85,70,117,2026-01-03 18:15:00,2026-01-03 19:45:00,2.0,90.0,18,Saturday
86,42,140,2026-01-03 15:00:00,2026-01-03 15:45:00,2.0,45.0,15,Saturday
87,65,127,2026-01-03 15:15:00,2026-01-03 16:45:00,2.0,90.0,15,Saturday
88,8,129,2026-01-03 10:15:00,2026-01-03 11:15:00,2.0,60.0,10,Saturday
89,17,108,2026-01-03 21:00:00,2026-01-03 21:30:00,2.0,30.0,21,Saturday
90,27,105,2026-01-04 12:45:00,2026-01-04 13:15:00,2.5,30.0,12,Sunday
91,78,165,2026-01-04 07:45:00,2026-01-04 08:15:00,2.5,30.0,7,Sunday
92,52,111,2026-01-04 10:15:00,2026-01-04 10:45:00,2.5,30.0,10,Sunday
93,22,186,2026-01-04 16:30:00,2026-01-04 17:00:00,2.0,30.0,16,Sunday
94,59,177,2026-01-04 06:15:00,2026-01-04 06:45:00,2.0,30.0,6,Sunday
95,49,199,2026-01-04 20:00:00,2026-01-04 21:30:00,2.0,90.0,20,Sunday
96,53,155,2026-01-04 11:45:00,2026-01-04 12:15:00,2.5,30.0,11,Sunday
97,7,169,2026-01-04 20:00:00,2026-01-04 21:00:00,2.0,60.0,20,Sunday
98,34,153,2026-01-04 12:00:00,2026-01-04 13:30:00,2.5,90.0,12,Sunday
99,50,137,2026-01-04 15:15:00,2026-01-04 16:15:00,2.0,60.0,15,Sunday
100,2,117,2026-01-04 10:15:00,2026-01-04 10:45:00,2.0,30.0,10,Sunday
101,69,101,2026-01-04 08:00:00,2026-01-04 09:30:00,2.5,90.0,8,Sunday
102,85,104,2026-01-04 19:00:00,2026-01-04 19:30:00,2.5,30.0,19,Sunday
103,48,132,2026-01-04 07:45:00,2026-01-04 08:30:00,2.5,45.0,7,Sunday
104,94,134,2026-01-04 11:15:00,2026-01-04 12:15:00,2.5,60.0,11,Sunday
105,73,150,2026-01-04 17:00:00,2026-01-04 18:15:00,2.0,75.0,17,Sunday
106,80,105,2026-01-04 19:15:00,2026-01-04 20:15:00,2.5,60.0,19,Sunday
107,83,157,2026-01-04 06:45:00,2026-01-04 08:15:00,2.0,90.0,6,Sunday
108,64,185,2026-01-04 19:15:00,2026-01-04 20:15:00,2.5,60.0,19,Sunday
109,42,151,2026-01-04 12:15:00,2026-01-04 13:30:00,2.5,75.0,12,Sunday
110,100,198,2026-01-04 11:15:00,2026-01-04 12:00:00,2.0,45.0,11,Sunday
111,29,182,2026-01-04 19:30:00,2026-01-04 20:30:00,2.5,60.0,19,Sunday
112,9,151,2026-01-04 20:15:00,2026-01-04 21:30:00,2.5,75.0,20,Sunday
113,5,138,2026-01-04 06:45:00,2026-01-04 08:00:00,2.0,75.0,6,Sunday
114,51,130,2026-01-04 12:15:00,2026-01-04 13:15:00,2.0,60.0,12,Sunday
115,46,181,2026-01-04 10:00:00,2026-01-04 11:15:00,2.5,75.0,10,Sunday
116,30,110,2026-01-04 13:00:00,2026-01-04 13:45:00,2.0,45.0,13,Sunday
117,96,117,2026-01-04 17:45:00,2026-01-04 19:15:00,2.0,90.0,17,Sunday
118,99,134,2026-01-04 11:00:00,2026-01-04 11:45:00,2.5,45.0,11,Sunday
119,26,177,2026-01-04 19:30:00,2026-01-04 20:30:00,2.0,60.0,19,Sunday
120,55,175,2026-01-04 08:30:00,2026-01-04 09:00:00,2.5,30.0,8,Sunday
121,68,123,2026-01-04 12:45:00,2026-01-04 13:45:00,2.5,60.0,12,Sunday
122,28,116,2026-01-04 13:45:00,2026-01-04 15:00:00,2.0,75.0,13,Sunday
123,24,156,2026-01-04 14:30:00,2026-01-04 15:30:00,2.0,60.0,14,Sunday
124,40,127,2026-01-04 18:45:00,2026-01-04 19:30:00,2.0,45.0,18,Sunday
125,8,161,2026-01-04 15:30:00,2026-01-04 16:30:00,2.5,60.0,15,Sunday
126,43,121,2026-01-04 10:15:00,2026-01-04 11:30:00,2.5,75.0,10,Sunday
127,65,142,2026-01-04 18:15:00,2026-01-04 19:45:00,2.5,90.0,18,Sunday
128,10,170,2026-01-04 06:00:00,2026-01-04 06:30:00,2.0,30.0,6,Sunday
129,12,112,2026-01-04 15:15:00,2026-01-04 16:00:00,2.5,45.0,15,Sunday
130,57,149,2026-01-04 19:15:00,2026-01-04 20:45:00,2.0,90.0,19,Sunday
131,77,108,2026-01-05 15:30:00,2026-01-05 17:00:00,2.0,90.0,15,Monday
132,35,144,2026-01-05 10:15:00,2026-01-05 11:00:00,2.5,45.0,10,Monday
133,74,168,2026-01-05 08:45:00,2026-01-05 09:15:00,2.0,30.0,8,Monday
134,29,120,2026-01-05 06:45:00,2026-01-05 07:15:00,2.0,30.0,6,Monday
135,70,190,2026-01-05 19:45:00,2026-01-05 21:15:00,2.0,90.0,19,Monday
136,43,111,2026-01-05 20:45:00,2026-01-05 22:15:00,2.5,90.0,20,Monday
137,75,103,2026-01-05 06:15:00,2026-01-05 07:00:00,2.5,45.0,6,Monday
138,53,110,2026-01-05 10:30:00,2026-01-05 11:15:00,2.0,45.0,10,Monday
139,88,144,2026-01-05 07:00:00,2026-01-05 07:45:00,2.5,45.0,7,Monday
140,65,184,2026-01-05 06:30:00,2026-01-05 08:00:00,2.5,90.0,6,Monday
141,58,173,2026-01-05 06:00:00,2026-01-05 07:00:00,2.5,60.0,6,Monday
142,69,115,2026-01-05 13:15:00,2026-01-05 14:15:00,2.5,60.0,13,Monday
143,27,194,2026-01-05 20:00:00,2026-01-05 21:30:00,2.5,90.0,20,Monday
144,12,162,2026-01-05 17:45:00,2026-01-05 18:30:00,2.5,45.0,17,Monday
145,49,178,2026-01-05 10:45:00,2026-01-05 11:45:00,2.0,60.0,10,Monday
146,85,109,2026-01-05 07:45:00,2026-01-05 08:45:00,2.0,60.0,7,Monday
147,31,135,2026-01-05 06:45:00,2026-01-05 08:00:00,2.5,75.0,6,Monday
148,67,164,2026-01-05 18:45:00,2026-01-05 19:45:00,2.5,60.0,18,Monday
149,5,114,2026-01-05 17:15:00,2026-01-05 18:15:00,2.5,60.0,17,Monday
150,60,185,2026-01-05 10:00:00,2026-01-05 11:00:00,2.5,60.0,10,Monday
151,42,178,2026-01-05 15:15:00,2026-01-05 16:30:00,2.0,75.0,15,Monday
152,97,189,2026-01-05 18:15:00,2026-01-05 18:45:00,2.0,30.0,18,Monday
153,55,118,2026-01-05 13:45:00,2026-01-05 14:45:00,2.0,60.0,13,Monday
154,9,138,2026-01-05 06:30:00,2026-01-05 07:00:00,2.0,30.0,6,Monday
155,30,125,2026-01-05 06:00:00,2026-01-05 06:45:00,2.5,45.0,6,Monday
156,24,178,2026-01-05 10:45:00,2026-01-05 11:45:00,2.0,60.0,10,Monday
157,11,139,2026-01-05 08:15:00,2026-01-05 09:15:00,2.0,60.0,8,Monday
158,54,107,2026-01-05 08:45:00,2026-01-05 09:30:00,2.0,45.0,8,Monday
159,16,164,2026-01-05 09:30:00,2026-01-05 11:00:00,2.5,90.0,9,Monday
160,72,133,2026-01-05 09:15:00,2026-01-05 10:15:00,2.5,60.0,9,Monday
161,32,136,2026-01-05 18:15:00,2026-01-05 18:45:00,2.0,30.0,18,Monday
162,93,197,2026-01-05 18:00:00,2026-01-05 19:00:00,2.0,60.0,18,Monday
163,21,155,2026-01-05 06:15:00,2026-01-05 07:30:00,2.5,75.0,6,Monday
164,46,186,2026-01-05 07:15:00,2026-01-05 08:45:00,2.0,90.0,7,Monday
165,33,174,2026-01-05 06:15:00,2026-01-05 07:45:00,2.5,90.0,6,Monday
166,95,131,2026-01-05 20:45:00,2026-01-05 22:15:00,2.5,90.0,20,Monday
167,50,188,2026-01-05 09:45:00,2026-01-05 11:15:00,2.0,90.0,9,Monday
168,92,108,2026-01-05 10:00:00,2026-01-05 11:15:00,2.0,75.0,10,Monday
169,6,176,2026-01-05 18:15:00,2026-01-05 19:15:00,2.0,60.0,18,Monday
170,37,195,2026-01-05 08:30:00,2026-01-05 09:45:00,2.5,75.0,8,Monday
171,51,136,2026-01-05 15:30:00,2026-01-05 16:30:00,2.0,60.0,15,Monday
172,19,169,2026-01-05 09:30:00,2026-01-05 10:15:00,2.0,45.0,9,Monday
173,40,138,2026-01-05 11:45:00,2026-01-05 12:30:00,2.0,45.0,11,Monday
174,87,146,2026-01-05 16:45:00,2026-01-05 17:30:00,2.0,45.0,16,Monday
175,34,113,2026-01-05 13:15:00,2026-01-05 14:00:00,2.5,45.0,13,Monday
176,62,189,2026-01-05 06:30:00,2026-01-05 07:45:00,2.0,75.0,6,Monday
177,10,103,2026-01-06 21:15:00,2026-01-06 22:00:00,2.5,45.0,21,Tuesday
178,75,183,2026-01-06 19:15:00,2026-01-06 20:30:00,2.5,75.0,19,Tuesday
179,98,197,2026-01-06 12:30:00,2026-01-06 13:45:00,2.0,75.0,12,Tuesday
180,69,132,2026-01-06 07:30:00,2026-01-06 09:00:00,2.5,90.0,7,Tuesday
181,59,108,2026-01-06 06:00:00,2026-01-06 07:00:00,2.0,60.0,6,Tuesday
182,4,188,2026-01-06 12:30:00,2026-01-06 14:00:00,2.0,90.0,12,Tuesday
183,62,172,2026-01-06 11:00:00,2026-01-06 12:30:00,2.5,90.0,11,Tuesday
184,73,167,2026-01-06 08:00:00,2026-01-06 09:15:00,2.0,75.0,8,Tuesday
185,12,108,2026-01-06 07:30:00,2026-01-06 08:30:00,2.0,60.0,7,Tuesday
186,70,116,2026-01-06 09:45:00,2026-01-06 11:15:00,2.0,90.0,9,Tuesday
187,58,154,2026-01-06 10:15:00,2026-01-06 11:00:00,2.5,45.0,10,Tuesday
188,45,107,2026-01-06 15:30:00,2026-01-06 16:00:00,2.0,30.0,15,Tuesday
189,50,123,2026-01-06 10:30:00,2026-01-06 12:00:00,2.5,90.0,10,Tuesday
190,67,119,2026-01-06 09:00:00,2026-01-06 10:15:00,2.0,75.0,9,Tuesday
191,3,182,2026-01-06 07:00:00,2026-01-06 08:30:00,2.5,90.0,7,Tuesday
192,14,120,2026-01-06 16:15:00,2026-01-06 17:00:00,2.0,45.0,16,Tuesday
193,74,167,2026-01-06 12:30:00,2026-01-06 13:45:00,2.0,75.0,12,Tuesday
194,30,120,2026-01-06 10:00:00,2026-01-06 10:30:00,2.0,30.0,10,Tuesday
195,16,198,2026-01-06 10:45:00,2026-01-06 11:45:00,2.0,60.0,10,Tuesday
196,71,186,2026-01-06 17:45:00,2026-01-06 18:15:00,2.0,30.0,17,Tuesday
197,32,174,2026-01-06 19:45:00,2026-01-06 20:45:00,2.5,60.0,19,Tuesday
198,49,187,2026-01-06 21:45:00,2026-01-06 22:15:00,2.0,30.0,21,Tuesday
199,19,181,2026-01-06 19:00:00,2026-01-06 19:45:00,2.5,45.0,19,Tuesday
200,85,125,2026-01-06 12:00:00,2026-01-06 13:00:00,2.5,60.0,12,Tuesday
201,13,104,2026-01-06 15:15:00,2026-01-06 16:45:00,2.5,90.0,15,Tuesday
202,90,198,2026-01-06 12:00:00,2026-01-06 13:00:00,2.0,60.0,12,Tuesday
203,97,170,2026-01-06 07:45:00,2026-01-06 09:15:00,2.0,90.0,7,Tuesday
204,81,142,2026-01-06 09:00:00,2026-01-06 09:45:00,2.5,45.0,9,Tuesday
205,8,117,2026-01-06 10:00:00,2026-01-06 10:45:00,2.0,45.0,10,Tuesday
206,42,176,2026-01-06 12:00:00,2026-01-06 12:45:00,2.0,45.0,12,Tuesday
207,13,147,2026-01-07 21:15:00,2026-01-07 21:45:00,2.0,30.0,21,Wednesday
208,63,123,2026-01-07 15:00:00,2026-01-07 15:45:00,2.5,45.0,15,Wednesday
209,74,107,2026-01-07 19:30:00,2026-01-07 21:00:00,2.0,90.0,19,Wednesday
210,42,107,2026-01-07 14:30:00,2026-01-07 15:15:00,2.0,45.0,14,Wednesday
211,38,159,2026-01-07 12:00:00,2026-01-07 12:45:00,2.0,45.0,12,Wednesday
212,69,195,2026-01-07 19:45:00,2026-01-07 20:45:00,2.5,60.0,19,Wednesday
213,61,118,2026-01-07 16:15:00,2026-01-07 16:45:00,2.0,30.0,16,Wednesday
214,4,114,2026-01-07 20:45:00,2026-01-07 21:45:00,2.5,60.0,20,Wednesday
215,95,160,2026-01-07 18:15:00,2026-01-07 19:15:00,2.0,60.0,18,Wednesday
216,50,137,2026-01-07 16:45:00,2026-01-07 17:30:00,2.0,45.0,16,Wednesday
217,49,155,2026-01-07 12:45:00,2026-01-07 13:15:00,2.5,30.0,12,Wednesday
218,18,104,2026-01-07 18:15:00,2026-01-07 18:45:00,2.5,30.0,18,Wednesday
219,14,113,2026-01-07 07:00:00,2026-01-07 08:30:00,2.5,90.0,7,Wednesday
220,96,142,2026-01-07 17:15:00,2026-01-07 18:00:00,2.5,45.0,17,Wednesday
221,97,155,2026-01-07 08:15:00,2026-01-07 09:00:00,2.5,45.0,8,Wednesday
222,7,130,2026-01-07 16:30:00,2026-01-07 18:00:00,2.0,90.0,16,Wednesday
223,80,113,2026-01-07 07:45:00,2026-01-07 08:45:00,2.5,60.0,7,Wednesday
224,8,139,2026-01-07 19:45:00,2026-01-07 21:15:00,2.0,90.0,19,Wednesday
225,32,162,2026-01-07 06:00:00,2026-01-07 07:30:00,2.5,90.0,6,Wednesday
226,16,157,2026-01-07 21:45:00,2026-01-07 23:00:00,2.0,75.0,21,Wednesday
227,37,110,2026-01-07 19:00:00,2026-01-07 20:15:00,2.0,75.0,19,Wednesday
228,15,105,2026-01-07 06:15:00,2026-01-07 06:45:00,2.5,30.0,6,Wednesday
229,84,103,2026-01-07 18:15:00,2026-01-07 19:00:00,2.5,45.0,18,Wednesday
230,23,168,2026-01-07 07:15:00,2026-01-07 08:45:00,2.0,90.0,7,Wednesday
231,90,125,2026-01-07 21:00:00,2026-01-07 22:30:00,2.5,90.0,21,Wednesday
232,28,179,2026-01-07 14:30:00,2026-01-07 15:00:00,2.0,30.0,14,Wednesday
233,41,188,2026-01-07 09:45:00,2026-01-07 10:45:00,2.0,60.0,9,Wednesday
234,75,137,2026-01-07 18:00:00,2026-01-07 19:00:00,2.0,60.0,18,Wednesday
235,99,170,2026-01-07 12:45:00,2026-01-07 13:45:00,2.0,60.0,12,Wednesday
236,60,162,2026-01-07 18:15:00,2026-01-07 18:45:00,2.5,30.0,18,Wednesday
237,86,171,2026-01-07 09:45:00,2026-01-07 10:45:00,2.5,60.0,9,Wednesday
238,66,172,2026-01-07 09:00:00,2026-01-07 10:30:00,2.5,90.0,9,Wednesday
239,93,174,2026-01-07 16:15:00,2026-01-07 16:45:00,2.5,30.0,16,Wednesday
240,48,190,2026-01-07 14:00:00,2026-01-07 14:45:00,2.0,45.0,14,Wednesday
241,30,103,2026-01-07 13:15:00,2026-01-07 14:45:00,2.5,90.0,13,Wednesday
242,3,105,2026-01-07 11:30:00,2026-01-07 12:00:00,2.5,30.0,11,Wednesday
243,83,109,2026-01-07 08:45:00,2026-01-07 09:30:00,2.0,45.0,8,Wednesday
244,68,161,2026-01-07 16:15:00,2026-01-07 17:15:00,2.5,60.0,16,Wednesday
245,25,150,2026-01-07 07:15:00,2026-01-07 07:45:00,2.0,30.0,7,Wednesday
246,1,188,2026-01-07 08:45:00,2026-01-07 09:45:00,2.0,60.0,8,Wednesday
247,79,113,2026-01-07 13:00:00,2026-01-07 13:30:00,2.5,30.0,13,Wednesday
248,53,137,2026-01-08 18:15:00,2026-01-08 19:30:00,2.0,75.0,18,Thursday
249,82,120,2026-01-08 21:45:00,2026-01-08 22:30:00,2.0,45.0,21,Thursday
250,35,168,2026-01-08 16:45:00,2026-01-08 17:15:00,2.0,30.0,16,Thursday
251,51,112,2026-01-08 11:00:00,2026-01-08 11:45:00,2.5,45.0,11,Thursday
252,93,165,2026-01-08 11:15:00,2026-01-08 12:15:00,2.5,60.0,11,Thursday
253,22,182,2026-01-08 07:15:00,2026-01-08 08:45:00,2.5,90.0,7,Thursday
254,1,176,2026-01-08 09:30:00,2026-01-08 10:30:00,2.0,60.0,9,Thursday
255,52,152,2026-01-08 18:45:00,2026-01-08 20:15:00,2.5,90.0,18,Thursday
256,54,111,2026-01-08 06:15:00,2026-01-08 07:15:00,2.5,60.0,6,Thursday
257,21,175,2026-01-08 15:30:00,2026-01-08 16:15:00,2.5,45.0,15,Thursday
258,55,198,2026-01-08 19:15:00,2026-01-08 20:45:00,2.0,90.0,19,Thursday
259,64,104,2026-01-08 06:30:00,2026-01-08 08:00:00,2.5,90.0,6,Thursday
260,49,139,2026-01-08 20:30:00,2026-01-08 22:00:00,2.0,90.0,20,Thursday
261,44,129,2026-01-08 16:45:00,2026-01-08 17:30:00,2.0,45.0,16,Thursday
262,57,147,2026-01-08 19:45:00,2026-01-08 20:45:00,2.0,60.0,19,Thursday
263,15,127,2026-01-08 08:00:00,2026-01-08 09:15:00,2.0,75.0,8,Thursday
264,8,156,2026-01-08 17:00:00,2026-01-08 18:30:00,2.0,90.0,17,Thursday
265,20,147,2026-01-08 21:00:00,2026-01-08 22:00:00,2.0,60.0,21,Thursday
266,87,184,2026-01-08 11:30:00,2026-01-08 12:00:00,2.5,30.0,11,Thursday
267,17,169,2026-01-08 08:30:00,2026-01-08 09:00:00,2.0,30.0,8,Thursday
268,47,158,2026-01-08 17:15:00,2026-01-08 18:00:00,2.0,45.0,17,Thursday
269,26,161,2026-01-08 08:45:00,2026-01-08 09:15:00,2.5,30.0,8,Thursday
270,50,125,2026-01-08 13:45:00,2026-01-08 14:30:00,2.5,45.0,13,Thursday
271,61,115,2026-01-08 17:45:00,2026-01-08 18:45:00,2.5,60.0,17,Thursday
272,12,172,2026-01-08 17:15:00,2026-01-08 17:45:00,2.5,30.0,17,Thursday
273,46,117,2026-01-08 18:00:00,2026-01-08 19:00:00,2.0,60.0,18,Thursday
274,99,146,2026-01-08 07:45:00,2026-01-08 08:45:00,2.0,60.0,7,Thursday
275,2,193,2026-01-08 21:45:00,2026-01-08 23:15:00,2.5,90.0,21,Thursday
276,1,187,2026-01-09 17:00:00,2026-01-09 17:30:00,2.0,30.0,17,Friday
277,5,145,2026-01-09 08:15:00,2026-01-09 09:15:00,2.5,60.0,8,Friday
278,39,155,2026-01-09 19:45:00,2026-01-09 21:15:00,2.5,90.0,19,Friday
279,93,108,2026-01-09 18:30:00,2026-01-09 20:00:00,2.0,90.0,18,Friday
280,65,155,2026-01-09 21:30:00,2026-01-09 22:45:00,2.5,75.0,21,Friday
281,24,182,2026-01-09 11:15:00,2026-01-09 12:15:00,2.5,60.0,11,Friday
282,75,122,2026-01-09 10:45:00,2026-01-09 11:15:00,2.5,30.0,10,Friday
283,19,159,2026-01-09 08:45:00,2026-01-09 09:30:00,2.0,45.0,8,Friday
284,37,135,2026-01-09 18:00:00,2026-01-09 18:30:00,2.5,30.0,18,Friday
285,42,107,2026-01-09 17:00:00,2026-01-09 18:30:00,2.0,90.0,17,Friday
286,79,131,2026-01-09 15:00:00,2026-01-09 16:15:00,2.5,75.0,15,Friday
287,14,137,2026-01-09 09:45:00,2026-01-09 11:00:00,2.0,75.0,9,Friday
288,53,120,2026-01-09 17:45:00,2026-01-09 18:30:00,2.0,45.0,17,Friday
289,29,149,2026-01-09 08:45:00,2026-01-09 09:15:00,2.0,30.0,8,Friday
290,59,136,2026-01-09 15:00:00,2026-01-09 15:45:00,2.0,45.0,15,Friday
291,4,200,2026-01-09 07:30:00,2026-01-09 08:15:00,2.0,45.0,7,Friday
292,35,136,2026-01-09 11:30:00,2026-01-09 12:15:00,2.0,45.0,11,Friday
293,67,158,2026-01-09 11:00:00,2026-01-09 12:15:00,2.0,75.0,11,Friday
294,36,103,2026-01-09 18:15:00,2026-01-09 19:45:00,2.5,90.0,18,Friday
295,55,115,2026-01-09 06:30:00,2026-01-09 07:15:00,2.5,45.0,6,Friday
296,95,108,2026-01-09 09:45:00,2026-01-09 10:30:00,2.0,45.0,9,Friday
